Date,Price,Adj Close,Close,High,Low,Open,Volume
2020-01-02 00:00:00+00:00,68.36849975585938,68.36849975585938,68.40699768066406,67.07749938964844,67.07749938964844,28132000
2020-01-03 00:00:00+00:00,68.03299713134766,68.03299713134766,68.625,67.2771987915039,67.39299774169922,23728000
2020-01-06 00:00:00+00:00,69.71050262451172,69.71050262451172,69.82499694824219,67.5,67.5,34646000
2020-01-07 00:00:00+00:00,69.66699981689453,69.66699981689453,70.14949798583984,69.51899719238281,69.89700317382812,30054000
2020-01-08 00:00:00+00:00,70.21600341796875,70.21600341796875,70.5790023803711,69.54199981689453,69.60399627685547,30560000
2020-01-09 00:00:00+00:00,70.99150085449219,70.99150085449219,71.36650085449219,70.51349639892578,71.02850341796875,30018000
2020-01-10 00:00:00+00:00,71.48650360107422,71.48650360107422,71.74645233154297,70.9175033569336,71.37799835205078,36414000
2020-01-13 00:00:00+00:00,71.96150207519531,71.96150207519531,72.0260009765625,71.3010025024414,71.80650329589844,33046000
2020-01-14 00:00:00+00:00,71.54399871826172,71.54399871826172,72.08999633789062,71.41850280761719,71.95050048828125,31178000
2020-01-15 00:00:00+00:00,71.95999908447266,71.95999908447266,72.06974792480469,71.510498046875,71.510498046875,25654000
2020-01-16 00:00:00+00:00,72.58499908447266,72.58499908447266,72.59950256347656,72.0459976196289,72.37200164794922,23474000
2020-01-17 00:00:00+00:00,74.01950073242188,74.01950073242188,74.06475067138672,72.91100311279297,73.14550018310547,47924000
2020-01-21 00:00:00+00:00,74.22000122070312,74.22000122070312,74.59249877929688,73.55999755859375,73.95600128173828,40734000
2020-01-22 00:00:00+00:00,74.29750061035156,74.29750061035156,75.16069793701172,74.24649810791016,74.55000305175781,32216000
2020-01-23 00:00:00+00:00,74.3324966430664,74.3324966430664,74.7760009765625,74.1050033569336,74.38200378417969,27024000
2020-01-24 00:00:00+00:00,73.33550262451172,73.33550262451172,74.77474975585938,73.26249694824219,74.67949676513672,35692000
2020-01-27 00:00:00+00:00,71.69499969482422,71.69499969482422,71.90350341796875,71.05999755859375,71.55000305175781,35104000
2020-01-28 00:00:00+00:00,72.62799835205078,72.62799835205078,72.80000305175781,71.62349700927734,72.1500015258789,31548000
2020-01-29 00:00:00+00:00,72.93150329589844,72.93150329589844,73.27149963378906,72.33699798583984,72.94000244140625,21554000
2020-01-30 00:00:00+00:00,72.79199981689453,72.79199981689453,72.86399841308594,71.81999969482422,71.99800109863281,26788000
2020-01-31 00:00:00+00:00,71.71150207519531,71.71150207519531,73.50650024414062,71.42649841308594,73.44499969482422,48344000
2020-02-03 00:00:00+00:00,74.2969970703125,74.2969970703125,74.5,72.94950103759766,73.0999984741211,60736000
2020-02-04 00:00:00+00:00,72.35350036621094,72.35350036621094,73.4749984741211,71.31500244140625,72.85350036621094,78660000
2020-02-05 00:00:00+00:00,72.4114990234375,72.4114990234375,73.19200134277344,71.52799987792969,73.12100219726562,39724000
2020-02-06 00:00:00+00:00,73.8115005493164,73.8115005493164,74.0999984741211,72.47850036621094,72.5165023803711,33588000
2020-02-07 00:00:00+00:00,73.96150207519531,73.96150207519531,74.29199981689453,73.31749725341797,73.36499786376953,23446000
2020-02-10 00:00:00+00:00,75.43399810791016,75.43399810791016,75.4749984741211,73.71600341796875,73.71600341796875,28398000
2020-02-11 00:00:00+00:00,75.43949890136719,75.43949890136719,76.48149871826172,75.28189849853516,75.59049987792969,26892000
2020-02-12 00:00:00+00:00,75.91349792480469,75.91349792480469,76.03475189208984,75.40550231933594,75.7239990234375,23352000
2020-02-13 00:00:00+00:00,75.73300170898438,75.73300170898438,76.35900115966797,75.2300033569336,75.6344985961914,18590000
2020-02-14 00:00:00+00:00,76.03700256347656,76.03700256347656,76.03700256347656,75.36699676513672,75.77999877929688,23956000
2020-02-18 00:00:00+00:00,75.9834976196289,75.9834976196289,76.58149719238281,75.62950134277344,75.75,22414000
2020-02-19 00:00:00+00:00,76.33450317382812,76.33450317382812,76.60530090332031,76.06999969482422,76.25350189208984,18986000
2020-02-20 00:00:00+00:00,75.90750122070312,75.90750122070312,76.48200225830078,75.34100341796875,76.0999984741211,21932000
2020-02-21 00:00:00+00:00,74.25550079345703,74.25550079345703,75.61074829101562,74.02200317382812,75.40149688720703,34634000
2020-02-24 00:00:00+00:00,71.07949829101562,71.07949829101562,71.84850311279297,70.56950378417969,71.30549621582031,57342000
2020-02-25 00:00:00+00:00,69.42250061035156,69.42250061035156,71.90699768066406,69.12000274658203,71.6500015258789,49566000
2020-02-26 00:00:00+00:00,69.65899658203125,69.65899658203125,70.78500366210938,68.94999694824219,69.80699920654297,44048000
2020-02-27 00:00:00+00:00,65.90450286865234,65.90450286865234,68.58519744873047,65.8584976196289,68.10299682617188,59566000
2020-02-28 00:00:00+00:00,66.96649932861328,66.96649932861328,67.05699920654297,63.54999923706055,63.875,75782000
2020-03-02 00:00:00+00:00,69.45549774169922,69.45549774169922,69.54350280761719,66.34075164794922,67.58049774169922,48630000
