Date,Price,Adj Close,Close,High,Low,Open,Volume
2014-01-02 00:00:00+00:00,17.234294891357422,19.754642486572266,19.89392852783203,19.71500015258789,19.845714569091797,234684800
2014-01-03 00:00:00+00:00,16.855730056762695,19.320714950561523,19.774999618530273,19.301071166992188,19.7450008392334,392467600
2014-01-06 00:00:00+00:00,16.947641372680664,19.426071166992188,19.5285701751709,19.05714225769043,19.194643020629883,412610800
2014-01-07 00:00:00+00:00,16.826438903808594,19.28714370727539,19.498571395874023,19.211429595947266,19.440000534057617,317209200
2014-01-08 00:00:00+00:00,16.933002471923828,19.409286499023438,19.484285354614258,19.238929748535156,19.243213653564453,258529600
2014-01-09 00:00:00+00:00,16.71676254272461,19.161428451538086,19.53071403503418,19.11964225769043,19.5285701751709,279148800
2014-01-10 00:00:00+00:00,16.605222702026367,19.033571243286133,19.314285278320312,18.96821403503418,19.27964210510254,304976000
2014-01-13 00:00:00+00:00,16.6921443939209,19.133214950561523,19.375,18.924285888671875,18.925357818603516,378492800
2014-01-14 00:00:00+00:00,17.024295806884766,19.51392936706543,19.526071548461914,19.2021427154541,19.222143173217773,332561600
2014-01-15 00:00:00+00:00,17.3660945892334,19.90571403503418,20.007143020629883,19.7021427154541,19.768571853637695,391638800
2014-01-16 00:00:00+00:00,17.26919174194336,19.79464340209961,19.887500762939453,19.702856063842773,19.81785774230957,229278000
2014-01-17 00:00:00+00:00,16.84607696533203,19.309642791748047,19.716785430908203,19.282142639160156,19.695714950561523,426739600
2014-01-21 00:00:00+00:00,17.10779571533203,19.609643936157227,19.645357131958008,19.30071449279785,19.32107162475586,328526800
2014-01-22 00:00:00+00:00,17.183820724487305,19.696786880493164,19.903213500976562,19.56464385986328,19.675357818603516,379985200
2014-01-23 00:00:00+00:00,17.329328536987305,19.863571166992188,19.875,19.457500457763672,19.640714645385742,403239200
2014-01-24 00:00:00+00:00,17.01432228088379,19.502500534057617,19.843570709228516,19.45535659790039,19.78571319580078,429354800
2014-01-27 00:00:00+00:00,17.152347564697266,19.66071319580078,19.814285278320312,19.491071701049805,19.645357131958008,554878800
2014-01-28 00:00:00+00:00,15.781413078308105,18.08928680419922,18.39285659790039,17.93107032775879,18.170000076293945,1065523200
2014-01-29 00:00:00+00:00,15.602253913879395,17.883928298950195,18.120357513427734,17.807857513427734,17.998214721679688,502810000
2014-01-30 00:00:00+00:00,15.57203197479248,17.849285125732422,18.08928680419922,17.739286422729492,17.947856903076172,678501600
2014-01-31 00:00:00+00:00,15.597572326660156,17.878570556640625,17.911785125732422,17.626785278320312,17.684999465942383,464797200
2014-02-03 00:00:00+00:00,15.626551628112793,17.911785125732422,18.133214950561523,17.832143783569336,17.95035743713379,401464000
2014-02-04 00:00:00+00:00,15.85275650024414,18.171070098876953,18.19499969482422,17.955713272094727,18.066070556640625,376681200
2014-02-05 00:00:00+00:00,15.971160888671875,18.306785583496094,18.402856826782227,18.08035659790039,18.091428756713867,328344800
2014-02-06 00:00:00+00:00,16.064254760742188,18.30392837524414,18.33928680419922,18.136070251464844,18.216428756713867,257765200
2014-02-07 00:00:00+00:00,16.288991928100586,18.559999465942383,18.676071166992188,18.47785758972168,18.62071418762207,370280400
2014-02-10 00:00:00+00:00,16.580806732177734,18.892499923706055,18.999643325805664,18.5,18.523571014404297,345559200
2014-02-11 00:00:00+00:00,16.79927635192871,19.141429901123047,19.20535659790039,18.91071319580078,18.95035743713379,282256800
2014-02-12 00:00:00+00:00,16.79802703857422,19.139999389648438,19.270000457763672,19.044286727905273,19.176786422729492,308100800
2014-02-13 00:00:00+00:00,17.06477165222168,19.44392967224121,19.45892906188965,19.078571319580078,19.094999313354492,307398000
2014-02-14 00:00:00+00:00,17.05096435546875,19.428213119506836,19.499286651611328,19.328929901123047,19.37392807006836,272924400
2014-02-18 00:00:00+00:00,17.113662719726562,19.499643325805664,19.68535614013672,19.48607063293457,19.5,260251600
2014-02-19 00:00:00+00:00,16.843475341796875,19.19178581237793,19.53178596496582,19.08392906188965,19.45535659790039,313768000
